Model   RMSD-WT RMSD-S90L
228.00  6.63947 4.40003
229.00  6.68186 4.47896
230.00  6.65946 4.51636
231.00  6.63585 4.46301
232.00  6.61727 4.37500
233.00  6.61613 4.35717
234.00  6.60487 4.33465
235.00  6.68872 4.32643
236.00  6.66196 4.29280
237.00  6.76508 4.35992
238.00  6.78297 4.43038
239.00  6.69537 4.40199
240.00  6.64768 4.38588
241.00  6.67204 4.34566
242.00  6.58472 4.33676
243.00  6.60893 4.35829
244.00  6.63394 4.44380
245.00  6.72027 4.35065
246.00  6.64853 4.32952
247.00  6.60592 4.40019
248.00  6.66009 4.48149
249.00  6.63470 4.58199
250.00  6.62306 4.66947
251.00  6.69785 4.60191
252.00  6.71646 4.65844
253.00  6.70583 4.59043
254.00  6.69853 4.54369
255.00  6.62724 4.53349
256.00  6.63003 4.60499
257.00  6.69082 4.70234
258.00  6.62339 4.72381
259.00  6.75250 4.71015
260.00  6.76813 4.77805
261.00  6.77822 4.67797
262.00  6.70931 4.61303
263.00  6.65727 4.63658
264.00  6.65833 4.54094
265.00  6.71433 4.61379
266.00  6.65231 4.75429
267.00  6.70713 4.67197
268.00  6.70847 4.73343
269.00  6.69911 4.69825
270.00  6.78698 4.74127
271.00  6.66709 4.88240
272.00  6.65384 4.81249
273.00  6.70209 4.69247
274.00  6.68532 4.68374
275.00  6.75030 4.65999
276.00  6.83850 4.65265
277.00  6.85988 4.56508
278.00  6.95676 4.55581
279.00  7.01454 4.57456
280.00  7.11137 4.56976
281.00  7.08334 4.50895
282.00  7.01808 4.45825
283.00  6.97209 4.46111
284.00  7.01615 4.48695
285.00  7.06512 4.54725
286.00  7.02555 4.60737
287.00  7.01438 4.61590
288.00  7.08482 4.57754
289.00  7.09898 4.57146
290.00  7.08044 4.62823
291.00  7.12278 4.55484
292.00  7.21068 4.60111
293.00  7.23080 4.57312
294.00  7.29927 4.55528
295.00  7.35974 4.57003
296.00  7.44012 4.59557
297.00  7.42200 4.60138
298.00  7.51702 4.56487
299.00  7.68208 4.57841
300.00  7.73162 4.52246
301.00  7.69036 4.65417
302.00  7.72719 4.69660
303.00  7.61612 4.70115
304.00  7.61661 4.73415
305.00  7.56767 4.84671
306.00  7.56497 4.89004
307.00  7.44380 4.92981
308.00  7.39258 5.08012
309.00  7.46156 5.20446
310.00  7.51274 5.30251
311.00  7.49566 5.41855
312.00  7.38611 5.40311
313.00  7.45487 5.35449
314.00  7.36865 5.42905
315.00  7.33698 5.38737
316.00  7.42993 5.33421
317.00  7.43465 5.45160
318.00  7.54655 5.38752
319.00  7.51166 5.48005
320.00  7.44570 5.50520
321.00  7.38259 5.61143
322.00  7.39556 5.58917
323.00  7.49301 5.55634
324.00  7.45535 5.72203
325.00  7.45091 5.62563
326.00  7.41800 5.56722
327.00  7.38737 5.53314
328.00  7.40145 5.67502
329.00  7.30838 5.61753
330.00  7.27943 5.56281
331.00  7.28817 5.70443
332.00  7.26211 5.72464
333.00  7.33684 5.70878
334.00  7.22640 5.89526
335.00  7.26860 5.84558
336.00  7.23118 5.99402
337.00  7.17584 5.90135
338.00  7.17657 5.85096
339.00  7.24588 6.02983
340.00  7.29109 5.98553
341.00  7.21934 6.15504
342.00  7.23006 6.29444
343.00  7.23299 6.22468
344.00  7.30688 6.19619
345.00  7.26543 6.14687
346.00  7.31176 6.19793
347.00  7.42263 6.17003
348.00  7.44948 6.12702
349.00  7.37728 6.07066
350.00  7.40720 6.01976
351.00  7.37962 5.97333
352.00  7.44508 5.94307
353.00  7.29280 5.89414
354.00  7.32406 5.87856
355.00  7.20001 5.82768
356.00  7.22282 5.77340
357.00  7.13687 5.68182
358.00  7.20968 5.61635
359.00  7.27636 5.58015
360.00  7.33691 5.69812
361.00  7.29712 5.71627
362.00  7.31747 5.72116
363.00  7.30077 5.74184
364.00  7.34947 5.76365
365.00  7.24510 5.80627
366.00  7.26700 5.83369
367.00  7.29303 5.73441
368.00  7.32581 5.81482
369.00  7.40182 5.82092
370.00  7.46098 5.83461
371.00  7.41398 5.87850
372.00  7.33552 5.79276
373.00  7.41471 5.79808
374.00  7.54814 5.79749
375.00  7.62296 5.80692
376.00  7.56826 5.71697
377.00  7.53899 5.68049
378.00  7.65396 5.72440
379.00  7.57176 5.77774
380.00  7.50723 5.68317
381.00  7.44829 5.77717
382.00  7.51697 5.88128
383.00  7.60311 5.96799
384.00  7.60642 5.89125
385.00  7.48655 5.89453
386.00  7.58090 5.89672
387.00  7.60737 5.92126
388.00  7.61907 5.84028
389.00  7.68135 5.87270
390.00  7.70850 5.77895
391.00  7.62217 5.81980
392.00  7.72434 5.90475
393.00  7.64956 5.94555
394.00  7.74969 6.00426
395.00  7.66441 6.09839
396.00  7.70325 5.97997
397.00  7.62812 5.90837
398.00  7.55538 5.98618
399.00  7.55843 5.91900
400.00  7.67405 5.82524
401.00  7.70404 5.74487
402.00  7.65212 5.80231
403.00  7.59226 5.90100
404.00  7.63279 5.93198
405.00  7.67910 5.98899
406.00  7.74568 6.03791
407.00  7.69791 6.11217
408.00  7.87622 6.15533
409.00  7.76204 6.19794
410.00  7.67053 6.09269
411.00  7.61212 6.14332
412.00  7.52710 6.20100
413.00  7.48183 6.24716
414.00  7.55406 6.32605
415.00  7.63028 6.22011
416.00  7.72023 6.14162
417.00  7.65949 6.23695
418.00  7.68669 6.32878
419.00  7.74101 6.38200
420.00  7.71679 6.26231
421.00  7.67984 6.17646
422.00  7.66515 6.08604
423.00  7.74211 6.17739
424.00  7.85704 6.08457
425.00  7.84722 5.99381
426.00  7.78571 6.08600
427.00  7.88177 6.15715
428.00  7.82827 6.08095
429.00  7.76800 6.16194
430.00  7.79870 6.25662
431.00  7.83009 6.36243
432.00  7.82094 6.46318
433.00  7.78133 6.54777
434.00  7.88856 6.43580
435.00  7.74346 6.36603
436.00  7.86149 6.26989
437.00  7.92591 6.38000
438.00  7.98393 6.46844
439.00  7.88639 6.56731
440.00  7.86446 6.44663
441.00  7.77919 6.53566
442.00  7.68715 6.42128
443.00  7.84771 6.31294
444.00  7.91584 6.20804
445.00  7.83496 6.31900
446.00  7.85554 6.42949
447.00  7.89109 6.52864
448.00  7.79995 6.44507
449.00  7.84896 6.35943
450.00  7.90886 6.46006
451.00  7.88551 6.37429
452.00  8.02472 6.44193
453.00  8.11670 6.36516
454.00  8.04634 6.28049
455.00  7.93920 6.35498
456.00  7.92152 6.42419
457.00  7.99624 6.49829
458.00  8.09247 6.38136
459.00  8.07583 6.31233
460.00  8.16146 6.24899
461.00  8.25824 6.16746
462.00  8.33190 6.26520
463.00  8.40010 6.14898
464.00  8.44793 6.06311
465.00  8.37599 6.14687
466.00  8.41213 6.06318
467.00  8.30824 6.10056
468.00  8.38409 6.02918
469.00  8.39692 6.13105
470.00  8.28785 6.06190
471.00  8.31601 6.17516
472.00  8.27899 6.23998
473.00  8.18181 6.18775
474.00  8.09840 6.14284
475.00  8.07133 6.03577
476.00  8.07520 5.96996
477.00  7.98743 5.90325
478.00  7.89599 5.84795
479.00  7.78285 5.92250
480.00  7.77763 5.87898
481.00  7.82245 5.84940
482.00  7.76321 5.93343
483.00  7.80611 5.87323
484.00  7.85004 5.79456
485.00  7.86040 5.73352
486.00  7.78530 5.69223
487.00  7.81756 5.73094
488.00  7.91793 5.73793
489.00  7.97976 5.67282
490.00  7.97841 5.73456
491.00  8.03193 5.80099
492.00  8.12090 5.70684
493.00  8.14696 5.65073
494.00  8.02620 5.68249
495.00  8.00140 5.75234
496.00  7.87865 5.79925
497.00  7.89927 5.77017
498.00  7.97881 5.72141
499.00  7.89891 5.77564
